Date,Type,Link
2024-06-17 08:52:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7208355231779188737
2024-06-07 04:40:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7203594132701761536
2024-06-03 11:32:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7203221355750735873
2024-05-29 19:33:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7199465311807422464
2024-05-28 20:35:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7199574830453506048
2024-05-28 20:25:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7199078463096381443
2024-05-27 20:16:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7197295560465235968
2024-05-27 20:13:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7199547793319895043
2024-05-22 19:34:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7199008603570102272
2024-05-22 18:58:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7199076781126033408
2024-05-06 11:26:12,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7192766309355388928
2024-05-06 11:22:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7193156068431015940
2024-05-05 19:16:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7192085774824034305?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7192085774824034305%2C7192094225134436352%29
2024-05-05 19:13:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2066905-7192953580700536832
2024-05-05 08:07:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1836487-7192776176451424256
2024-05-05 07:58:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7192696758957707265
2024-05-01 18:33:20,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7190724781082611712
2024-04-30 23:19:09,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7191187563112464385
