Login Date,IP Address,User Agent,Login Type
Wed May 08 17:31:21 UTC 2024,49.180.190.186,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Safari/537.36",Login
Sun May 26 22:09:17 UTC 2024,49.179.77.76,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Safari/537.36",Login
Thu May 30 07:35:11 UTC 2024,49.195.36.81,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Fri Jun 07 05:16:26 UTC 2024,49.179.84.135,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36",Login
Fri Jun 07 05:17:49 UTC 2024,125.209.175.131,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Sun Sep 01 22:50:39 UTC 2024,103.23.64.61,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Login
Thu Feb 27 23:57:17 UTC 2025,220.245.170.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",Login
Fri Feb 28 00:06:18 UTC 2025,220.245.170.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",Login
Wed Jul 23 06:34:58 UTC 2025,2405:6e00:2a7:3143:bd08:a12c:3fe6:b218,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.1093 Google_Pixel 9 Pro Fold:android_16,Login
Thu Jul 31 08:53:52 UTC 2025,14.200.79.246,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",Login
Fri Aug 15 22:05:38 UTC 2025,194.193.197.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Sun Aug 17 12:06:54 UTC 2025,2405:6e00:243:702e:c711:9f92:a8a2:a4d4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",Login
Tue Sep 02 10:32:58 UTC 2025,185.54.228.148,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",Login
